80's & 90's,Cars,Drive
80's & 90's,Dead or Alive,You Spin Me Right Round
80's & 90's,Inner Circle,Sweat
80's & 90's,INXS,Don't Change
80's & 90's,Modern English,Melt With You
80's & 90's,Phil Collins,In the Air Tonight
80's & 90's,Ramones,I Wanna Be Sedated
80's & 90's,REM,The One I Love
80's & 90's,Richard Marx,Right Here Waiting
80's & 90's,Roxette,The Look
80's & 90's,Sarah Mclachlan,Building a Mystery
80's & 90's,Simple Minds,Don't You Forget About Me
80's & 90's,Sting,Fields of Gold
80's & 90's,Tears For Fears,Mad World
80's & 90's,The Cure,Love Song
80's & 90's,The Fly,Got You Where I Want You
80's Rock,Bon Jovi,Its My Life
80's Rock,Bon Jovi,Living on a Prayer
80's Rock,Cinderella,Shake Me
80's Rock,Danzig,Mother
80's Rock,Guns N Roses,I Used To Love Her
80's Rock,Guns N Roses,Knockin on Heavens Door
80's Rock,Guns N Roses,Patience
80's Rock,Poison,Every Rose Has Its Thorn
80's Rock,White Snake,Here I Go Again
Alternative Rock,Better Than Ezra,Desperately Wanting
Alternative Rock,Bodines,Closer To Free
Alternative Rock,Brand New,The Quiet Things No One Ever Knows
Alternative Rock,Bush,Comedown
Alternative Rock,Bush,Glycerine
Alternative Rock,Eve 6,Inside Out
Alternative Rock,Gavin Rosdale,Love Remains The Same
Alternative Rock,Goo Goo Dolls,Name
Alternative Rock,Greenday,Good Riddance
Alternative Rock,Hootie and the Blowfish,Let Her Cry
Alternative Rock,Marcy Playground,Sex and Candy
Alternative Rock,Oasis,Wonderwall
Alternative Rock,Offspring,The Kids Aren't Alright
Alternative Rock,Red Hot Chili Peppers,Other Side
Alternative Rock,Red Hot Chili Peppers,Under the Bridge
Alternative Rock,Seven Mary Three,Cumbersome
Alternative Rock,Sister Hazel,All For You
Alternative Rock,Soul Asylum,Runaway Train
Alternative Rock,Stone Temple Pilots,Plush
Alternative Rock,The Calling,Wherever You Will Go
Alternative Rock,The Proclaimers,500 Miles
Alternative Rock,The Verve Pipe,The Freshmen
Alternative Rock,Tonic,If You Could Only See
Alternative Rock,Vertical Horizon,Everything You Want
Alternative Rock,Wallflowers,6th Avenue Heartache
Classic Rock,America,Sister Golden Hair
Classic Rock,Bad Company,Feel Like Making Love
Classic Rock,Bob Seger,Turn the Page
Classic Rock,Bryan Adams,Summer of 69
Classic Rock,Creedence Clearwater Revival,Bad Moon Rising
Classic Rock,Creedence Clearwater Revival,Have You Ever Seen the Rain
Classic Rock,Dobie Gray,Drift Away
Classic Rock,Doors,Light My Fire
Classic Rock,Doors,Riders on the Storm
Classic Rock,Eagles,Lyin Eyes
Classic Rock,Eagles,Take It Easy
Classic Rock,Eagles,Tequila Sunrise
Classic Rock,Eric Clapton,Wonderful Tonight
Classic Rock,Harry Chapin,Cats in the Cradle
Classic Rock,Jackson Browne,Doctor My Eyes
Classic Rock,Jackson Browne,Stay
Classic Rock,Jefferson Airplane,Somebody to Love
Classic Rock,Jimi Hendrix,All Along the Watchtower
Classic Rock,Jimmy Buffet,Come Monday
Classic Rock,Jimmy Buffet,Margaritaville
Classic Rock,Jimmy Buffet,Pirate Looks At 40
Classic Rock,Jimmy Buffet,Son of a Sailor
Classic Rock,John Mellencamp,Wild Nights
Classic Rock,Kenny Loggins,Dannys Song
Classic Rock,Lynard Skynard,Tuesdays Gone
Classic Rock,Marshall Tucker Band,Can't You See
Classic Rock,Neil Young,Heart of Gold
Classic Rock,Queen,Crazy Little Thing Called Love
Classic Rock,Rolling Stones,Paint it Black
Classic Rock,Rolling Stones,Sympathy for the Devil
Classic Rock,Steppenwolf,Born to be Wild
Classic Rock,The Band,The Weight
Classic Rock,The Outfield,Your Love
Classic Rock,Tom Petty,You Don't Know How It Feels
Classics,Archies,Sugar Sugar
Classics,Beatles,A Little Help from my Friends
Classics,Beatles,Let It Be
Classics,Bill Withers,Lean On Me
Classics,Billy Joel,Its Still Rock and Roll To Me
Classics,Billy Joel,Piano Man
Classics,Buffalo Springfield,For What It's Worth
Classics,Cheers,Where Everybody Knows Your Name
Classics,Del Vikings,Come Go With Me
Classics,Dion,Runaround Sue
Classics,Dion,Teenager In Love
Classics,Dion,Wanderer
Classics,Elvis,Hound Dog
Classics,Grease,Greased Lightning
Classics,James Taylor,How Sweet It Is To Be Loved By You
Classics,Jim Croce,Bad Bad Leroy Brown
Classics,Joe Cocker,Aint No Sunshine
Classics,John Lennon,Imagine
Classics,Kermit the Frog,Rainbow Connection
Classics,Manfred Man,Doo Wah Diddy
Classics,Otis Redding,Dock of the Bay
Classics,Searchers,Love Potion #9
Country,Alabama,Dixieland Delight
Country,David Allen Coe,You Don't Even Call Me By My Name
Country,Garth Brooks,That Summer
Country,Garth Brooks,The River
Country,George Strait,Carrying Your Love With Me
Country,Johnny Cash,Folsom Prison Blues
Country,Pure Prairie League,Amie
Millennium Rock,Damien Rice,Delicate
Millennium Rock,Death Cab for Cutie,I Will Follow You Into the Dark
Millennium Rock,Foster The People,Pumped Up Kicks
Millennium Rock,Howie Day,Collide
Millennium Rock,Iron and Wine,Flightless Bird American Mouth
Millennium Rock,Jace Everett,Bad Things
Millennium Rock,Jack Johnson,Flake
Millennium Rock,Jeff Buckley,Hallelujah
Millennium Rock,One Republic,Counting Stars
